model,property,algorithm,seed,simulations,time,robustness,falsified,input,control points,exploration ratio,budget,explore,uniform,prefix,suffix
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",adaptive,-4550890222167331235,47.0,12.0,-3.5325478948790447,yes,"[0.0 50.0 325.0; 15.0 0.0 325.0; 30.0 0.0 325.0]","2 2 3 3 3 4",0.25,300,79,16,13,12
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",adaptive,9211472062668675655,48.0,11.0,-10.219574228148087,yes,"[0.0 34.375 0.0; 7.5 0.0 325.0; 22.5 50.0 325.0; 30.0 50.0 325.0]","2 2 3 3 3 4",0.25,300,81,18,18,9
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",adaptive,-6344791654413728103,16.0,3.0,-10.112848674138476,yes,"[0.0 25.0 0.0; 10.0 0.0 162.5; 25.0 100.0 325.0; 30.0 100.0 325.0]","2 2 3 3 3 4",0.25,300,32,2,3,3
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",adaptive,1783389036282317921,52.0,12.0,-3.5325478948790447,yes,"[0.0 50.0 325.0; 15.0 0.0 325.0; 30.0 0.0 325.0]","2 2 3 3 3 4",0.25,300,84,14,15,18
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",adaptive,7410157346639577710,40.0,9.0,-4.004921389475751,yes,"[0.0 50.0 162.5; 10.0 0.0 162.5; 25.0 0.0 325.0; 30.0 0.0 325.0]","2 2 3 3 3 4",0.25,300,65,12,9,17
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",adaptive,6621732285391908085,11.0,2.0,-9.402921432482234,yes,"[0.0 0.0 0.0; 15.0 25.0 162.5; 25.0 0.0 325.0; 30.0 0.0 325.0]","2 2 3 3 3 4",0.25,300,23,1,2,2
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",adaptive,1398688821725698495,32.0,7.0,-3.5325478948790447,yes,"[0.0 50.0 325.0; 15.0 0.0 325.0; 30.0 0.0 325.0]","2 2 3 3 3 4",0.25,300,55,8,9,9
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",adaptive,1286453535385362189,8.0,2.0,-1.3873322124694383,yes,"[0.0 31.25 325.0; 10.0 0.0 0.0; 25.0 100.0 243.75; 30.0 100.0 243.75]","2 2 3 3 3 4",0.25,300,19,0,1,1
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",adaptive,3335531070335935046,97.0,21.0,-3.5325478948790447,yes,"[0.0 50.0 325.0; 15.0 0.0 325.0; 30.0 0.0 325.0]","2 2 3 3 3 4",0.25,300,145,38,32,34
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",adaptive,1571518486718558037,34.0,8.0,-4.004921389475751,yes,"[0.0 50.0 162.5; 10.0 0.0 162.5; 25.0 0.0 325.0; 30.0 0.0 325.0]","2 2 3 3 3 4",0.25,300,61,6,5,13
