model,property,algorithm,seed,simulations,time,robustness,falsified,control points,budget
automatic_transmission,"□_[0.0, 30.0] (RPM < 10000.0)","uniform random",-3373523279198630529,100.0,13.0,5230.243931824517,no,4,100
automatic_transmission,"□_[0.0, 30.0] (RPM < 10000.0)","uniform random",-945874369173475924,100.0,13.0,5230.02892444639,no,4,100
automatic_transmission,"□_[0.0, 30.0] (RPM < 10000.0)","uniform random",-2027068886085455778,100.0,13.0,5230.170230812136,no,4,100
automatic_transmission,"□_[0.0, 50.0] (RPM < 10000.0)","uniform random",0,100.0,15.0,5229.4711508688115,no,4,100
automatic_transmission,"□_[0.0, 50.0] (RPM < 10000.0)","uniform random",8930961420536443956,100.0,14.0,5231.7714661565315,no,4,100
automatic_transmission,"□_[0.0, 50.0] (RPM < 10000.0)","uniform random",5027564224191174885,100.0,15.0,5238.738680330287,no,4,100
automatic_transmission,"□_[0.0, 50.0] (RPM < 10000.0)","uniform random",-1702726027617546570,100.0,14.0,5229.517844361567,no,4,100
automatic_transmission,"□_[0.0, 50.0] (RPM < 10000.0)","uniform random",5704118054995460492,100.0,14.0,5235.192709124724,no,4,100
automatic_transmission,"□_[0.0, 50.0] (RPM < 10000.0)","uniform random",7938329089922726318,100.0,15.0,5228.744692296341,no,4,100
automatic_transmission,"□_[0.0, 50.0] (RPM < 10000.0)","uniform random",2597640955835708158,100.0,15.0,5230.358492405141,no,4,100
automatic_transmission,"□_[0.0, 50.0] (RPM < 10000.0)","uniform random",-3373523279198630529,100.0,15.0,5228.737544057969,no,4,100
automatic_transmission,"□_[0.0, 50.0] (RPM < 10000.0)","uniform random",-945874369173475924,100.0,14.0,5230.02892444639,no,4,100
automatic_transmission,"□_[0.0, 50.0] (RPM < 10000.0)","uniform random",-2027068886085455778,100.0,14.0,5230.170230812136,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 4500.0) ==> □_[0.0, 4.0] (speed < 100.0))","uniform random",0,100.0,13.0,50.98508565873603,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 4500.0) ==> □_[0.0, 4.0] (speed < 100.0))","uniform random",8930961420536443956,100.0,13.0,48.241312501423224,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 4500.0) ==> □_[0.0, 4.0] (speed < 100.0))","uniform random",5027564224191174885,100.0,13.0,47.79487688822372,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 4500.0) ==> □_[0.0, 4.0] (speed < 100.0))","uniform random",-1702726027617546570,100.0,13.0,48.38475861355369,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 4500.0) ==> □_[0.0, 4.0] (speed < 100.0))","uniform random",5704118054995460492,100.0,13.0,49.801478910955964,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 4500.0) ==> □_[0.0, 4.0] (speed < 100.0))","uniform random",7938329089922726318,100.0,13.0,48.30046975827215,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 4500.0) ==> □_[0.0, 4.0] (speed < 100.0))","uniform random",2597640955835708158,100.0,15.0,49.36845366602118,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 4500.0) ==> □_[0.0, 4.0] (speed < 100.0))","uniform random",-3373523279198630529,100.0,13.0,49.38349023735729,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 4500.0) ==> □_[0.0, 4.0] (speed < 100.0))","uniform random",-945874369173475924,100.0,13.0,48.93346625278589,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 4500.0) ==> □_[0.0, 4.0] (speed < 100.0))","uniform random",-2027068886085455778,100.0,13.0,47.81198082137776,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 4500.0) ==> □_[0.0, 8.0] (speed < 100.0))","uniform random",0,100.0,13.0,29.796234570850146,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 4500.0) ==> □_[0.0, 8.0] (speed < 100.0))","uniform random",8930961420536443956,100.0,13.0,23.901228755569576,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 4500.0) ==> □_[0.0, 8.0] (speed < 100.0))","uniform random",5027564224191174885,100.0,13.0,25.228251097282325,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 4500.0) ==> □_[0.0, 8.0] (speed < 100.0))","uniform random",-1702726027617546570,100.0,13.0,24.469498626625025,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 4500.0) ==> □_[0.0, 8.0] (speed < 100.0))","uniform random",5704118054995460492,100.0,13.0,27.077408136183223,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 4500.0) ==> □_[0.0, 8.0] (speed < 100.0))","uniform random",7938329089922726318,100.0,13.0,24.783569575295417,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 4500.0) ==> □_[0.0, 8.0] (speed < 100.0))","uniform random",2597640955835708158,100.0,13.0,27.087549632939854,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 4500.0) ==> □_[0.0, 8.0] (speed < 100.0))","uniform random",-3373523279198630529,100.0,13.0,27.35982172711462,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 4500.0) ==> □_[0.0, 8.0] (speed < 100.0))","uniform random",-945874369173475924,100.0,13.0,26.609437827773803,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 4500.0) ==> □_[0.0, 8.0] (speed < 100.0))","uniform random",-2027068886085455778,100.0,13.0,25.23641565752152,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 4500.0) ==> □_[0.0, 20.0] (speed < 150.0))","uniform random",0,100.0,13.0,51.9920423531518,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 4500.0) ==> □_[0.0, 20.0] (speed < 150.0))","uniform random",8930961420536443956,100.0,13.0,43.48997641829655,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 4500.0) ==> □_[0.0, 20.0] (speed < 150.0))","uniform random",5027564224191174885,100.0,13.0,48.82347447587219,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 4500.0) ==> □_[0.0, 20.0] (speed < 150.0))","uniform random",-1702726027617546570,100.0,13.0,52.19924644999192,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 4500.0) ==> □_[0.0, 20.0] (speed < 150.0))","uniform random",5704118054995460492,100.0,13.0,45.30936916759589,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 4500.0) ==> □_[0.0, 20.0] (speed < 150.0))","uniform random",7938329089922726318,100.0,13.0,45.18424293000341,no,4,100
