model,property,algorithm,seed,simulations,time,robustness,falsified,control points,budget,solver,exploration ratio
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",-7012985548747600584,300.0,53.0,9.440445966969783,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",4609757942587255687,300.0,53.0,1.1937252550908397,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",-2433343361480830752,300.0,53.0,3.8855440356574107,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",-4358536347544474191,300.0,53.0,1.0207558615582286,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",5870561299029970844,300.0,52.0,9.11636154744859,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",8627091841383230896,300.0,53.0,0.42204196205798894,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",7266871797742769392,300.0,53.0,3.607870322388628,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",-1551192013774879941,300.0,53.0,7.052301836777048,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",-4228183684749093451,300.0,53.0,3.4544428180171067,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",-456851970517102419,300.0,53.0,10.2611437526838,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",7984526380734240710,300.0,52.0,6.296138087030947,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",3196352217594861487,300.0,53.0,1.98669982266442,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,0,96.0,64.0,-0.18713611701569732,yes,4,300,cmaes,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,-4962768465676381896,83.0,55.0,-1.3756772792362142,yes,4,300,cmaes,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,4804307197456638271,90.0,60.0,-2.1533493009024625,yes,4,300,cmaes,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,-1034601897293430941,31.0,20.0,-1.339320084610577,yes,4,300,cmaes,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,7848011421992302230,90.0,59.0,-2.1533493009024625,yes,4,300,cmaes,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,-8929183248358367000,53.0,35.0,-1.6090818471990787,yes,4,300,cmaes,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,488730542833106255,90.0,61.0,-2.1533493009024625,yes,4,300,cmaes,
